试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
0.0000		-0.0022		-0.0004		-0.0004		0.0012		-0.0000		-0.0100		-0.0000		-0.0000		0.0000		-0.0044		0.0200
0.0000		-0.0022		-0.0004		-0.0004		0.0012		-0.0000		-0.0100		-0.0000		-0.0000		0.0000		-0.0044		0.0400
0.0000		-0.0020		-0.0004		-0.0008		0.0024		-0.0000		-0.0100		-0.0000		-0.0000		0.0000		-0.0040		0.0600
0.0000		-0.0020		-0.0004		-0.0008		0.0024		-0.0000		-0.0100		-0.0000		-0.0000		0.0000		-0.0040		0.0800
0.0020		-0.0018		-0.0004		-0.0008		0.0036		-0.0000		-0.0100		-0.0000		-0.0000		0.0200		-0.0036		0.1000
0.0020		-0.0018		-0.0004		-0.0008		0.0036		-0.0000		-0.0100		-0.0000		-0.0000		0.0200		-0.0036		0.1200
0.0060		-0.0015		-0.0004		-0.0008		0.0048		-0.0000		-0.0100		-0.0000		-0.0000		0.0600		-0.0030		0.1400
0.0060		-0.0015		-0.0004		-0.0008		0.0048		-0.0000		-0.0100		-0.0000		-0.0000		0.0600		-0.0030		0.1600
0.0100		-0.0013		-0.0004		-0.0008		0.0061		-0.0000		-0.0100		-0.0000		-0.0000		0.1000		-0.0026		0.1800
0.0100		-0.0013		-0.0004		-0.0008		0.0061		-0.0000		-0.0100		-0.0000		-0.0000		0.1000		-0.0026		0.2000
